#,Group,Indicator,Feasible?,Used questionnaire(s),Used questions,Guidance,Logic,Calculation Comprehensive monitoring,Remarks
1,Total Overview (Cards),Total WTPs,Yes,,"1749635249444 (Name) or
1749635692873 (GPS)",,,COUNT DISTINCT Registration records by 1749635249444 (use 1749635692873 if name duplicated).,
2,,Inspected (12 mo),Yes,,1900000000101 (Reg-Inspection date),,,COUNT DISTINCT IDs WHERE 1900000000101 < 12 months.,
3,,% Operational,Yes,,"1749700156602 (Production constraints Y/N)
1749652417794 (Daily production ML)
1754995400013 (Pumps/Rising Main risks)
1754995400028 (Borehole pump risks)
1754995400043 (Borehole gallery pump risks)",,"a system is considered operational when no constraints are mentioned, there is a daily production > 0, pump rising main is operational and, borehole pumps are operational and borehole gallery pumps are operational","Plant is OPERATIONAL when :
  • 1749700156602 = No (no production constraints), AND
  • 1749652417794 > 0, AND
  • 1754995400013 = No (where Pumps/Rising Main is part of transport), AND
  • 1754995400028 = No (where Borehole Pump is part of transport), AND
  • 1754995400043 = No (where Borehole Gallery Pumps part of transport).
% = operational / total plants.","-Pump-risk checks should only apply when the plant uses that transport mode (dependance with 1749693821961 (How is the raw water transported to the plant?)).

Confirm with Ima whether a 'risks = Yes' alone is enough to mark the system NOT OPERATIONAL, or only when those risks include 'No spare pump' / 'Mechanical' / 'Electrical'. Currently the formula treats ANY risk = Yes as non-operational."
4,,DW Compliance,Yes,,"1754995400007 or 1749693051134 (E.coli)
1749693340552 (Total coliform)
1749693362270 (Faecal coliform)
1749693079936 (Turbidity)
1749693184574 (Residual Cl)
1754995300102 (pH)
1754995300103 (Conductivity)
1754995300104 (Salinity)",,,"Plant compliant when :
  • E.coli (1754995400007 OR 1749693051134) = 0 /100mL, AND
  • Total coliform (1749693340552) = 0, AND
  • Faecal coliform (1749693362270) = 0, AND
  • Turbidity (1749693079936) < 5 NTU, AND
  • Residual Cl (1749693184574) ∈ [0.2, 0.5] mg/L, AND
  • pH (1754995300102) ∈ [6.5, 8.5], AND
  • Conductivity (1754995300103) < 1000 µS/cm, AND
  • Salinity (1754995300104) < 1 ppt
% = compliant / total plants.","DWS threshold reminder: E. coli 0/100mL · Total coliform 0/100mL · Turbidity <5 NTU · Residual Cl 0.2–0.5 mg/L · pH 6.5–8.5 · Conductivity <1000 µS/cm · Salinity <1 ppt. ⚠ Per DWS doc the binding parameters are E. coli, Total coliform, Faecal coliform, Turbidity — others advisory. Verify the rule with DWS."
5,,Critical (RED),Yes,,Composite — same fields as DW Compliance + operational checklist,,,Plant RED when: DW Compliance = Non-compliant OR Plant is Non-Operational,This Align RED rule with the operational definition (row 4) and the DW rule (row 5) so the three KPIs stay consistent.
6,WTP Operational Map,Drinking water compliance,Yes,,"1749635692873
+ DW params (see row 5)",,,For each plant with GPS: pin colour from DW Compliance rule.,
7,,Disinfection technique,Yes,,1749653091407 (Comprehensive),,,Colour by which technique(s) in 1749653091407 are selected: Chlorine gas / HTH Powder / Sodium Hypochlorite / DPD Tablets.,Warning: this variable is Multi-select. if a plant uses more than one technique it would be confusing. define a priority order with DWS (example: show primary technique only).
8,WTP at a glance,Drinking Water Compliance by Parameter,Yes,,"1754995400007
1749693051134
1749693340552
1749693362270
1749693079936
1749693184574
1754995300102
1754995300103
1754995300104",,,"Stacked-bar per parameter (Pass / Fail), each plant counted once:
  E. coli: COUNT(value = 0 using either lab 1754995400007 or CBT 1749693051134)
  Total coliform: COUNT(1749693340552 = 0)
  Faecal coliform: COUNT(1749693362270 = 0)
  Turbidity: COUNT(1749693079936 < 5)
  Residual Cl: COUNT(1749693184574 ∈ [0.2, 0.5])
  pH: COUNT(1754995300102 ∈ [6.5, 8.5])
  Conductivity: COUNT(1754995300103 < 1000)
  Salinity: COUNT(1754995300104 < 1)",E.coli value can come from either method — use whichever is present in the latest submission.
9,,Sample Method,Yes,,. 1749692895121 (Lab Test / CBT Bag Test) -- multi select,,,Donut: COUNT plants per option of 1749692895121 (multi-select — a plant choosing both counts in both segments OR show three categories Lab / CBT / Both).,"Instead of Donut, we could use a barchart"
10,,Production vs Design Capacity,Yes,,"1749652417794 (M-daily production)
1749635313175 (Design capacity)
1749635162210 (Division)",,,Per plant: utilisation = 1749652417794 / 1749635313175. Plot bar per plant (design vs production) for each division.,
